module,name,kind,signature,decision
cullinan.application,run,function,run(handlers=None),keep
cullinan.app,CullinanApplication,class,CullinanApplication(shutdown_timeout: int = 30),keep
cullinan.app,create_app,function,create_app(shutdown_timeout: int = 30) -> cullinan.app.CullinanApplication,keep
cullinan.core,Inject,class,"Inject(name: Optional[str] = None, required: bool = True)",keep
cullinan.core,InjectByName,class,"InjectByName(service_name: Optional[str] = None, required: bool = True)",keep
cullinan.core,InjectionRegistry,class,InjectionRegistry(),keep
cullinan.core,ProviderRegistry,class,ProviderRegistry(),keep
cullinan.core,RequestScope,class,RequestScope(storage_key: str = '_scoped_instances'),keep
cullinan.core,SingletonScope,class,SingletonScope(),keep
cullinan.core,TransientScope,class,TransientScope(),keep
cullinan.core,create_context,function,create_context() -> cullinan.core.context.RequestContext,keep
cullinan.core,destroy_context,function,destroy_context() -> None,keep
cullinan.core,get_context_value,function,"get_context_value(key: str, default: Any = None) -> Any",keep
cullinan.core,get_current_context,function,get_current_context() -> Optional[cullinan.core.context.RequestContext],keep
cullinan.core,get_injection_registry,function,get_injection_registry() -> cullinan.core.injection.InjectionRegistry,keep
cullinan.core,get_request_scope,function,get_request_scope() -> cullinan.core.scope.RequestScope,keep
cullinan.core,get_singleton_scope,function,get_singleton_scope() -> cullinan.core.scope.SingletonScope,keep
cullinan.core,get_transient_scope,function,get_transient_scope() -> cullinan.core.scope.TransientScope,keep
cullinan.core,inject_constructor,function,inject_constructor(cls: Optional[Type] = None),keep
cullinan.core,injectable,function,injectable(cls: Optional[Type] = None),keep
cullinan.core,reset_injection_registry,function,reset_injection_registry() -> None,keep
cullinan.core,set_context_value,function,"set_context_value(key: str, value: Any) -> None",keep
cullinan.core,set_current_context,function,set_current_context(context: Optional[cullinan.core.context.RequestContext]) -> None,keep
cullinan.controller,controller,function,controller(**kwargs) -> Callable,keep
cullinan.controller,get_controller_registry,function,get_controller_registry() -> cullinan.controller.registry.ControllerRegistry,keep
cullinan.controller,get_header_registry,function,get_header_registry() -> cullinan.controller.core.HeaderRegistry,keep
cullinan.controller,request_resolver,function,"request_resolver(self, url_param_key_list: Optional[Sequence] = None, url_param_value_list: Optional[Sequence] = None, query_param_names: Optional[Sequence] = None, body_param_names: Optional[Sequence] = None, file_param_key_list: Optional[Sequence] = None) -> Tuple[Optional[dict], Optional[dict], Optional[dict], Optional[dict]]",keep
cullinan.controller,reset_controller_registry,function,reset_controller_registry() -> None,keep
cullinan.controller,response_build,function,response_build(**kwargs) -> cullinan.controller.core.StatusResponse,keep
cullinan.service,Service,class,Service(),keep
cullinan.service,ServiceRegistry,class,ServiceRegistry(),keep
cullinan.service,get_service_registry,function,get_service_registry() -> cullinan.service.registry.ServiceRegistry,keep
cullinan.service,reset_service_registry,function,reset_service_registry() -> None,keep
cullinan.service,service,function,"service(cls: Optional[Type[cullinan.service.base.Service]] = None, *, dependencies: Optional[List[str]] = None)",keep
