path,title,locale,has_zh,missing_fields,owner,priority
api_reference.md,API Reference,en,yes,,TBD,medium
architecture.md,Architecture Overview,en,yes,,TBD,medium
build_run.md,Local Build & Run,en,yes,,TBD,medium
contributing.md,Contributing,en,yes,,TBD,medium
cullinan_documentation_plan.md,Cullinan Documentation Plan,en,yes,,Plumeink,medium
examples.md,Examples and Demos,en,yes,,Plumeink,medium
getting_started.md,Getting Started with Cullinan,en,yes,,Plumeink,medium
migration_guide.md,Migration Guide,en,yes,,Plumeink,medium
README.md,Cullinan Documentation,en,yes,,Plumeink,medium
testing.md,Testing & Verification,en,yes,,TBD,medium
modules\app.md,cullinan.app module,en,yes,,Plumeink,medium
modules\application.md,cullinan.application module,en,yes,,Plumeink,medium
modules\controller.md,cullinan.controller,en,yes,,Plumeink,medium
modules\core.md,cullinan.core,en,yes,,Plumeink,medium
modules\service.md,cullinan.service,en,yes,,Plumeink,medium
templates\front_matter_example.md,Front-matter Example,en,yes,,TBD,medium
templates\page_template.md,<Short title>,en,yes,,TBD,medium
wiki\architecture.md,Architecture Overview,en,yes,,Plumeink,medium
wiki\components.md,Components,en,yes,,TBD,medium
wiki\extensions.md,Extensions & Plugins,en,yes,,TBD,medium
wiki\injection.md,IoC & DI (Injection),en,yes,,Plumeink,medium
wiki\lifecycle.md,Application Lifecycle,en,yes,,TBD,medium
wiki\middleware.md,Middleware,en,yes,,TBD,medium
